Seq	Pop	LAT	LON
WAMS66199	CEMETERY BEACH	-20.3075	118.6
WAMS66200	CEMETERY BEACH	-20.3075	118.6
WAMS66201	CEMETERY BEACH	-20.3075	118.6
WAMS66202	CEMETERY BEACH	-20.3075	118.6
WAMS66203	CEMETERY BEACH	-20.3075	118.6
WAMS66204	CEMETERY BEACH	-20.3075	118.6
WAMS66205	CEMETERY BEACH	-20.3075	118.6
WAMS66206	CEMETERY BEACH	-20.3075	118.6
WAMS66207	CEMETERY BEACH	-20.3075	118.6
WAMS66208	CEMETERY BEACH	-20.3075	118.6
WAMS66209	CEMETERY BEACH	-20.3075	118.6
WAMS66210	CEMETERY BEACH	-20.3075	118.6
WAMS66211	CEMETERY BEACH	-20.3075	118.6
WAMS66212	CEMETERY BEACH	-20.3075	118.6
WAMS66213	CEMETERY BEACH	-20.3075	118.6
WAMS66214	CEMETERY BEACH	-20.3075	118.6
WAMS66215	CEMETERY BEACH	-20.3075	118.6
WAMS66216	CEMETERY BEACH	-20.3075	118.6
WAMS66217	CEMETERY BEACH	-20.3075	118.6
WAMS69983	CEMETERY BEACH	-20.3075	118.6
WAMS69373	EXMOUTH	-22.0092	114.1241
WAMS69811	EXMOUTH	-22.0092	114.1241
WAMS69812	EXMOUTH	-22.0092	114.1241
WAMS69813	EXMOUTH	-22.0092	114.1241
WAMS69814	EXMOUTH	-22.0092	114.1241
WAMS69815	EXMOUTH	-22.0092	114.1241
WAMS69816	EXMOUTH	-22.0092	114.1241
WAMS69333	YARDIE CREEK	-22.3249	113.8099
WAMS69679	YARDIE CREEK	-22.3249	113.8099
WAMS69680	YARDIE CREEK	-22.3249	113.8099
WAMS69681	YARDIE CREEK	-22.3249	113.8099
WAMS69682	YARDIE CREEK	-22.3249	113.8099
WAMS69683	YARDIE CREEK	-22.3249	113.8099
WAMS69684	YARDIE CREEK	-22.3249	113.8099
WAMS69685	YARDIE CREEK	-22.3249	113.8099
WAMS69686	YARDIE CREEK	-22.3249	113.8099
WAMS69687	YARDIE CREEK	-22.3249	113.8099
WAMS69688	YARDIE CREEK	-22.3249	113.8099
WAMS69689	YARDIE CREEK	-22.3249	113.8099
WAMS69690	YARDIE CREEK	-22.3249	113.8099
WAMS69691	YARDIE CREEK	-22.3249	113.8099
WAMS69692	YARDIE CREEK	-22.3249	113.8099
WAMS69693	YARDIE CREEK	-22.3249	113.8099
WAMS69694	YARDIE CREEK	-22.3249	113.8099
WAMS69695	YARDIE CREEK	-22.3249	113.8099
WAMS69696	YARDIE CREEK	-22.3249	113.8099
WAMS69697	YARDIE CREEK	-22.3249	113.8099
WAMS69698	YARDIE CREEK	-22.3249	113.8099
WAMS69699	YARDIE CREEK	-22.3249	113.8099
WAMS69700	YARDIE CREEK	-22.3249	113.8099
